iPhone Model,Release date,Battery size,Single core,Multi Core,price
iPhone 3GS,2009,1219,151,152,599
iphone 4,2010,1420,30,30,649
iphone 4s,2011,1432,43,78,649
iphone 5,2012,1440,86,156,649
iphone 5c,2013,1507,258,469,549
iphone 5s,2013,1570,258,469,649
iphone 6,2014,1810,304,554,649
iphone 6plus,2014,2915,304,554,749
iphone 6s,2015,1715,530,981,649
iphone 6s plus,2015,2750,530,981,749
iphone se,2016,1624,530,981,399
iphone 7,2016,1960,727,1285,649
iphone 7plus,2106,2900,727,1285,769
iphone 8,2017,1821,904,1910,699
iphone 8plus,2017,2675,904,1910,799
iphone x,2017,2716,904,1910,999
iphone xs,2018,2658,1105,2508,999
iphone xr,2018,2942,1105,2508,749
iphone xs max,2018,3174,1105,2508,1099
iphone 11,2019,3110,1326,3300,699
iphone 11 pro,2019,3046,1326,3300,999
iphone 11 pro max,2019,3969,1326,3300,1099
iphone se2,2019,1821,1326,3300,399
